Ticker,Name,Country/Region,Currency
CRKSM211 Index,Asia Minas Crude Oil 211 Crack,MULT,USD
GSFLUSMX Index,Dry Gas Estimated Exports to M,,
LNGATLSO Index,GIE Europe LNG Send-Out (GWh/d,BE,
EPWREUGS Index,Europe Daily Average Power Gen,MULT,
FGASM1 Index,Bloomberg Fair Value Singapore,SI,USD
BXCNTQSC Index,China Bauxite Guinean 45%min C,CH,USD
IMM4SNCN Index,Bloomberg CFTC CME Swiss Franc,,
NAPHJPNC Index,Naphtha Japan CIF Cargoes,JN,USD
FFACM1 Index,Bloomberg Fair Value/AECO Fixe,CA,CAD
N2EXAM Index,N2EX Power Exchange UK Day-Ahe,GB,GBP
ECK4 Comdty,E-MINI CRUDE OIL  May24,US,USD
STTRSSCR Index,Turkey Steel Scrap (HMS 1/2 80,TU,USD
FVHQM1 Index,Bloomberg  Price/Nymex Heating,US,USd
PTINM1 Index,US Mont Belvieu Propane TET vs,US,USD
COY Comdty,BRENT CRUDE INDEX (ICE),GB,USD
LPGSMBNB Index,North American Spot LPGs/NGLs,US,USd
CRCRSDIR Index,China Shandong Independent Ref,CH,
FSDUM1 Index,Bloomberg Fair Value Price/Dub,UA,USD
GNEBM1 Index,European Gasoline EBOB FOB Rot,NE,USD
POLICSSA Index,SE Asia Caustic Soda CFR Price,MULT,USD
NASS000C Index,PLATTS Platts TSI US HRC EXW I,,USD
FSCLY 24 Index,Bloomberg Fair Value Price/Nym,US,USD
FSQCQ Q424 Index,Bloomberg Fair Value Price/ICE,MULT,USD
GCFPAMWE Index,Western Europe Ammonia CFR Spo,MULT,USD
NABT000B Index,PLATTS Lithium Spodumene 6% FO,,USD
HHUBSPOT Index,US Natural Gas Henry Hub Physi,US,USD
PUSAPRPY Index,NEXANT Price - Polypropylene -,US,USD
L4SC995 Index,South America Lithium Carbonat,MULT,USD
TTFGY 25 Index,Netherlands TTF Natural Gas Fo,NE,EUR
TRC1 Comdty,Generic 1st 'TRC' Future,CN,CNY
FVHRM1 Index,NYMEX Heating Oil Futures minu,US,USD
MRESCENT Index,Malaysian Rubber Board Centrif,MA,MYr
GSDEDUST Index,Dry Gas Estimated Total Consum,US,
FSDBM1 Index,Bloomberg Fair Value Price/Dat,GB,USD
FSG1M1 Index,BFV/Asia Gasoil 10ppm FOB Sing,SI,USD
IRCNIM Index,China Iron Ore Imports,CH,
NCG1M Comdty,Generic 1st 'NCGM'Fut,DE,EUR
STCO0023 Index,CISA Crude Steel Production Ch,CH,
COMXSILV Index,Comex Silver Inventory Data,US,
ELSB1MON Index,Spain Power Baseload Forward M,SP,EUR
SYBBBRF1 Index,Commodity3 Brazil Soybeans FOB,BZ,USd
FVXHM J24 Index,NYMEX RBOB Gasoline Futures mi,US,USd
PCRUDUB1 Index,Platts Dubai Crude Oil First M,,USD
PVMOSMP0 Index,Solar Standard Monocrystalline,MULT,USD
FJNBM1 Index,Bloomberg Fair Value Price/NWE,MULT,USD
LNGJLNJP Index,Japan JCC LNG (JLC) Import Pri,JN,USD
UPHYMPHY Index,Uranium 308 Physical Spot Pric,,USD
ST27AU Index,United States All Sectors Elec,US,USd
USCRUHC1 Index,US Crude Oil Bakken Clearbrook,US,USD
UKAAUPR Index,UK ETS Emission Auction - ICE,,GBP
TFF1NLFN Index,CFTC CME E Mini S&P 500 Levera,,
FSM3M1 Index,Bloomberg Fair Value Price/Mon,US,USD
WEATTKHR Index,USDA No. 1 Hard Red Winter Whe,US,USD
ACK321A Index,Bloomberg ICE Brent Crude Oil,US,USD
USPSTTPO Index,Total United States Shale Oil,US,
FVXCM M24 Index,NYMEX RBOB Gasoline Futures mi,US,USD
NRGSCL12 Index,Bloomberg Nymex Crude Oil 12 M,US,USD
SGLDWDUA Index,Global Gold Demand from Centra,,
