Date,last_price,return,volatility_weekly,volatility_monthly,volatility_annual,T+1 return,T+3 return,T+5 return,T+10 return
2021-09-15,25.075,0.08151822298900147,0.0325175677509371,0.04165604045773883,0.05951539708274271,25.95,0.18884002199010452,0.2725578658297372,0.34805194805194795
2021-09-16,25.95,0.03489531405782653,0.02950097443447138,0.04140023265212704,0.05953685574730185,25.083,0.08186327366832002,0.2224875718880981,0.27002531645569605
2021-09-17,25.083,-0.03341040462427747,0.04522916447866059,0.038772900401316174,0.05959279243780217,26.441,0.05447657028913255,0.21133406633681506,0.3180957128614157
2021-09-20,26.441,0.0541402543555396,0.04424413520905229,0.0324808992558915,0.05965764124773546,28.538,0.0997302504816957,0.230882035799008,0.4376826196473551
2021-09-21,28.538,0.0793086494459363,0.04698374980020313,0.03385687198435667,0.05980735343381038,27.266,0.08703105689112145,0.08737786640079759,0.36071464217985816
2021-09-22,27.266,-0.044572149414815354,0.05456326040651927,0.0373512216656607,0.05990409028335161,26.36,-0.0030634242275253687,0.01579961464354529,0.29266378972145946
2021-09-23,26.36,-0.03322819628841778,0.05772600495840413,0.03898086525721065,0.059948185857726176,26.797,-0.06100637746163007,0.0683331339951363,0.3060239789453163
2021-09-24,26.797,0.01657814871016705,0.05371990815805161,0.03776399493286039,0.05994866905351908,28.898,0.05985476417516322,0.09292386823493826,0.3238959135055892
2021-09-27,28.898,0.07840429898869283,0.05903521724528062,0.038960531020496986,0.06009608039151779,32.229,0.22264795144157823,0.12933632349849322,0.3900797929695925
2021-09-28,32.229,0.11526749256003876,0.06944579625162628,0.04381217372704303,0.06045786138554124,31.655,0.18128895025562564,0.16096970586077908,0.2624127617148555
2021-09-29,31.655,-0.017810046852213768,0.06336462312135861,0.044448209197295134,0.06047393280802211,34.47,0.19281611184164982,0.3076631259484066,0.3283236994219654
2021-09-30,34.47,0.0889274996051177,0.05500099985565713,0.04610449558876788,0.060676070756722725,33.845,0.050141177200657694,0.2630145165503601,0.3493202567475979
2021-10-01,33.845,-0.01813170873223091,0.06288858757119457,0.045963608962260864,0.060689365246456774,34.986,0.10522824198388858,0.2106720188248321,0.3231723459778373
2021-10-04,34.986,0.033712512926576954,0.060866970498254944,0.04597580142760905,0.060707669647768595,39.671,0.15088482738613296,0.2309100499550094,0.3901114303735369
2021-10-05,39.671,0.13391070713999897,0.06687489219407403,0.05125370141593241,0.06120548006000955,56.326,0.6642340079775448,0.7793713473384931,1.0657962297366685
2021-10-06,56.326,0.41982808600741106,0.17095558175661932,0.09757781166186293,0.06641065855850159,35.604,0.017664208540559168,0.0328981723237598,0.35068285280728384
2021-10-07,35.604,-0.3678940453786884,0.28411466422253134,0.134198805533017,0.0705940905064263,38.414,-0.03168561417660254,0.13499778401536422,0.4335186774638953
2021-10-08,38.414,0.07892371643635543,0.2824362918051319,0.13442930121104918,0.07071724191923132,35.21,-0.37488903880978586,0.006402561024409836,0.21842342030590367
2021-10-11,35.21,-0.08340709116467959,0.2898883553451815,0.1369424229793773,0.07096359396197206,34.002,-0.0449949443882709,-0.142900355423357,0.055012566322256484
2021-10-12,34.002,-0.03430843510366366,0.28545134058698224,0.13759576047242247,0.07101985702329486,35.546,-0.07466028010621129,-0.36892376522387527,0.12291897014689623
2021-10-13,35.546,0.045409093582730264,0.17724742543868452,0.13745268565496113,0.07105094481042563,37.706,0.07088895200227219,0.059038310302213404,0.09387873513199896
2021-10-14,37.706,0.06076633095144324,0.0692986057637176,0.1371373250822246,0.07112112845869438,36.598,0.07634845009117108,-0.04727443119695951,0.08134140936622836
2021-10-15,36.598,-0.029385243727788835,0.06003511493664836,0.13771345126665038,0.07042201955313801,36.09,0.015304112980363493,0.024992899744390895,0.03155547933459113
2021-10-18,36.09,-0.013880539920214097,0.04422713426038158,0.13735867591499187,0.07043529229247088,35.307,-0.06362382644671938,0.038380095288512495,-0.11000478939275538
2021-10-19,35.307,-0.021695760598503755,0.04165838432116035,0.1376003027079016,0.07045898774697468,35.796,-0.02191376577955073,0.007033140156416984,-0.3644853176153109
2021-10-20,35.796,0.013849944770158773,0.036717138861951354,0.1370053096223878,0.07045640702231042,34.34,-0.048489886395123305,-0.08926961226330021,-0.03550162903044585
2021-10-21,34.34,-0.040674935747010754,0.02054376866511997,0.1369159943200299,0.07052809434090733,33.642,-0.04715778740759624,-0.08076944095305738,-0.12422554277086473
2021-10-22,33.642,-0.020326150262085063,0.01971061417807487,0.13669280852474516,0.07041086350842429,34.139,-0.046290088278019836,-0.05405929620393457,-0.03041749502982105
2021-10-25,34.139,0.014773200166458667,0.02430835340609306,0.13669620303069305,0.07041090792633034,34.232,-0.0031450203843914615,-0.030447220097997607,0.006764307981883322
2021-10-26,34.232,0.002724157122352633,0.024027186931214348,0.13609718624966674,0.07039423296432773,33.123,-0.015427144640627999,-0.07467314783774726,-0.068165194395994
2021-10-27,33.123,-0.032396587987847725,0.023402128939805724,0.1345816510710852,0.07043305864866709,30.93,-0.09399806672720357,-0.09930110658124647,-0.17970614756272218
2021-10-28,30.93,-0.06620777103523223,0.031678430570292335,0.13549548637073222,0.0705742652744482,29.804,-0.12935265248889927,-0.1140835859936985,-0.1856385594841249
2021-10-29,29.804,-0.03640478499838351,0.032489154730663626,0.13450157580303962,0.07058193705110409,28.5,-0.13957069106059228,-0.16517765605319434,-0.21030756442227772
2021-11-01,28.5,-0.04375251644074618,0.02491073784528245,0.1348078923878796,0.07063704915088417,26.225,-0.1521176850953766,-0.2339039495209161,-0.25722944458605945
2021-11-02,26.225,-0.07982456140350869,0.020440111911933984,0.13568927920591356,0.07079404774878763,28.152,-0.05542880150315388,-0.1500769857802734,-0.21354341267180688
2021-11-03,28.152,0.07347950428979977,0.060683979412415996,0.13321964710585454,0.07091067279893035,30.306,0.06336842105263152,-0.02017458777885539,-0.11747233546884106
2021-11-05,30.306,0.07651321398124478,0.07218916908286653,0.09319088657377167,0.07103815563032365,31.864,0.21502383222116306,0.06911823916252868,-0.05285060341240122
